ID,Age,Gender,Transgender,Mental_Illness,Physical_Illness,Date_of_Arrival,Total_Days_in_Shelter,Total_Days_Homeless,Criminal_Record,Employed,Recurrence,Party_Size,Reason,Education_Level,Return_Prediction
1,19,Female,FALSE,TRUE,TRUE,2015-01-01,55,323,FALSE,FALSE,29,1,Foster System,Incomplete Highschool,TRUE
2,50,Male,TRUE,TRUE,TRUE,2008-01-01,71,279,FALSE,TRUE,86,2,Foster System,Incomplete Highschool,TRUE
3,24,Male,FALSE,FALSE,TRUE,2001-01-01,37,337,FALSE,FALSE,10,5,Foster System,Incomplete Highschool,FALSE
4,27,Male,FALSE,FALSE,FALSE,2000-01-01,70,278,FALSE,FALSE,63,1,Disability,Incomplete Highschool,FALSE
5,68,Female,TRUE,TRUE,FALSE,2021-01-01,39,269,FALSE,FALSE,93,4,Domestic Abuse,Incomplete Highschool,TRUE
6,56,Male,FALSE,FALSE,TRUE,2010-01-01,3,232,TRUE,TRUE,25,4,Disability,Incomplete Highschool,FALSE
7,40,Female,FALSE,TRUE,TRUE,2010-01-01,73,324,FALSE,FALSE,46,2,Disability,Incomplete Highschool,TRUE
8,80,Female,FALSE,TRUE,FALSE,2017-01-01,13,399,FALSE,FALSE,25,1,Veteran,Incomplete Highschool,TRUE
9,33,Nonbinary,FALSE,TRUE,TRUE,2011-01-01,63,496,FALSE,FALSE,47,5,Disability,Incomplete Highschool,TRUE
10,19,Male,FALSE,FALSE,FALSE,2014-01-01,64,300,TRUE,FALSE,8,2,Foster System,Incomplete Highschool,FALSE
11,49,Male,FALSE,TRUE,TRUE,2010-01-01,88,414,TRUE,TRUE,17,5,Foster System,Some College,FALSE
12,41,Nonbinary,FALSE,FALSE,TRUE,2015-01-01,41,28,FALSE,FALSE,5,2,Disability,Incomplete Highschool,TRUE
13,52,Female,FALSE,FALSE,FALSE,2003-01-01,87,139,FALSE,TRUE,23,3,Disability,Incomplete Highschool,FALSE
14,78,Female,FALSE,FALSE,TRUE,2014-01-01,66,370,FALSE,TRUE,89,4,Veteran,Incomplete Highschool,FALSE
15,59,Male,FALSE,TRUE,TRUE,2019-01-01,85,378,FALSE,FALSE,26,3,Foster System,Incomplete Highschool,TRUE
16,30,Female,FALSE,FALSE,TRUE,2013-01-01,32,318,FALSE,TRUE,84,4,Veteran,Incomplete Highschool,FALSE
17,23,Female,FALSE,FALSE,FALSE,2006-01-01,15,186,TRUE,FALSE,71,5,Foster System,Incomplete Highschool,FALSE
18,67,Male,FALSE,TRUE,TRUE,2007-01-01,8,235,FALSE,TRUE,58,1,Disability,Incomplete Highschool,TRUE
19,19,Male,TRUE,TRUE,FALSE,2018-01-01,64,193,FALSE,FALSE,26,5,Foster System,Incomplete Highschool,TRUE
20,23,Female,FALSE,TRUE,FALSE,2016-01-01,22,421,FALSE,FALSE,9,1,Domestic Abuse,Incomplete Highschool,FALSE
21,52,Male,FALSE,TRUE,FALSE,2010-01-01,86,11,TRUE,FALSE,12,5,Foster System,Incomplete Highschool,TRUE
22,33,Female,FALSE,FALSE,FALSE,2012-01-01,40,386,FALSE,TRUE,21,3,Domestic Abuse,Incomplete Highschool,FALSE
23,63,Female,FALSE,FALSE,TRUE,2009-01-01,44,432,FALSE,FALSE,54,1,Domestic Abuse,Incomplete Highschool,FALSE
24,19,Male,FALSE,TRUE,TRUE,2004-01-01,23,406,TRUE,TRUE,33,5,Disability,Incomplete Highschool,TRUE
25,79,Male,FALSE,FALSE,TRUE,2009-01-01,36,103,FALSE,TRUE,44,5,Veteran,Incomplete Highschool,FALSE
26,46,Female,FALSE,TRUE,TRUE,2012-01-01,31,127,FALSE,FALSE,65,4,Domestic Abuse,Incomplete Highschool,FALSE
27,24,Male,FALSE,FALSE,FALSE,2006-01-01,10,414,FALSE,FALSE,88,4,Domestic Abuse,Incomplete Highschool,FALSE
28,67,Female,FALSE,TRUE,TRUE,2013-01-01,11,89,FALSE,FALSE,58,1,Domestic Abuse,Incomplete Highschool,FALSE
29,56,Nonbinary,FALSE,FALSE,FALSE,2010-01-01,55,213,FALSE,TRUE,10,2,Veteran,Incomplete Highschool,TRUE
30,43,Female,FALSE,FALSE,TRUE,2019-01-01,58,50,FALSE,FALSE,27,2,Disability,Completed Highschool,FALSE
31,37,Male,FALSE,TRUE,FALSE,2007-01-01,3,106,FALSE,FALSE,16,3,Foster System,Incomplete Highschool,FALSE
32,30,Female,FALSE,TRUE,FALSE,2021-01-01,12,404,FALSE,FALSE,94,2,Veteran,Completed College,FALSE
33,45,Female,FALSE,TRUE,FALSE,2019-01-01,40,267,TRUE,TRUE,24,5,Foster System,Incomplete Highschool,TRUE
34,58,Male,FALSE,TRUE,FALSE,2010-01-01,62,104,FALSE,FALSE,14,5,Veteran,Completed College,FALSE
35,57,Female,TRUE,TRUE,TRUE,2016-01-01,74,337,TRUE,TRUE,78,5,Foster System,Incomplete Highschool,TRUE
36,80,Female,FALSE,FALSE,TRUE,2021-01-01,46,224,TRUE,TRUE,93,5,Veteran,Completed Highschool,FALSE
37,74,Male,FALSE,FALSE,TRUE,2000-01-01,8,155,FALSE,FALSE,73,3,Disability,Incomplete Highschool,FALSE
38,54,Female,FALSE,FALSE,FALSE,2020-01-01,46,308,FALSE,TRUE,34,3,Disability,Incomplete Highschool,FALSE
39,72,Male,FALSE,FALSE,FALSE,2013-01-01,3,486,FALSE,FALSE,29,2,Domestic Abuse,Incomplete Highschool,FALSE
40,46,Male,FALSE,FALSE,TRUE,2018-01-01,33,209,FALSE,TRUE,57,3,Disability,Incomplete Highschool,FALSE
41,24,Male,FALSE,FALSE,TRUE,2003-01-01,60,233,FALSE,TRUE,51,4,Domestic Abuse,Incomplete Highschool,FALSE
42,33,Male,FALSE,FALSE,FALSE,2013-01-01,24,322,FALSE,FALSE,72,5,Domestic Abuse,Incomplete Highschool,FALSE
43,66,Male,FALSE,TRUE,FALSE,2016-01-01,35,489,TRUE,TRUE,57,5,Foster System,Incomplete Highschool,TRUE
44,41,Male,FALSE,FALSE,TRUE,2016-01-01,60,194,FALSE,FALSE,65,2,Veteran,Completed Highschool,FALSE
45,55,Male,TRUE,TRUE,TRUE,2006-01-01,85,247,FALSE,FALSE,44,5,Disability,Incomplete Highschool,TRUE
46,40,Male,FALSE,FALSE,FALSE,2000-01-01,6,291,FALSE,TRUE,13,4,Veteran,Completed Highschool,FALSE
47,29,Female,FALSE,TRUE,TRUE,2003-01-01,45,267,TRUE,FALSE,38,1,Disability,Incomplete Highschool,TRUE
48,73,Female,FALSE,TRUE,TRUE,2011-01-01,24,225,FALSE,TRUE,12,5,Veteran,Incomplete Highschool,TRUE
49,71,Female,FALSE,FALSE,TRUE,2015-01-01,49,214,FALSE,TRUE,48,5,Foster System,Incomplete Highschool,FALSE
50,42,Male,FALSE,TRUE,TRUE,2013-01-01,17,234,FALSE,TRUE,75,4,Domestic Abuse,Incomplete Highschool,FALSE
51,32,Female,FALSE,FALSE,FALSE,2013-01-01,39,117,FALSE,FALSE,31,3,Foster System,Completed College,FALSE
52,37,Male,FALSE,TRUE,TRUE,2017-01-01,29,123,FALSE,FALSE,70,5,Domestic Abuse,Incomplete Highschool,FALSE
53,75,Male,FALSE,TRUE,FALSE,2017-01-01,69,400,FALSE,FALSE,6,1,Foster System,Incomplete Highschool,FALSE
54,37,Female,FALSE,TRUE,FALSE,2017-01-01,10,307,TRUE,FALSE,59,4,Disability,Completed Highschool,FALSE
55,39,Female,FALSE,TRUE,TRUE,2019-01-01,41,78,FALSE,TRUE,80,2,Foster System,Incomplete Highschool,FALSE
56,44,Male,FALSE,FALSE,TRUE,2009-01-01,80,354,FALSE,FALSE,4,3,Veteran,Incomplete Highschool,FALSE
57,53,Nonbinary,FALSE,FALSE,TRUE,2015-01-01,87,287,FALSE,FALSE,69,1,Foster System,Incomplete Highschool,FALSE
58,69,Female,TRUE,FALSE,FALSE,2016-01-01,1,35,FALSE,FALSE,30,1,Disability,Incomplete Highschool,TRUE
59,72,Male,TRUE,TRUE,FALSE,2005-01-01,31,426,FALSE,TRUE,69,4,Domestic Abuse,Incomplete Highschool,TRUE
60,63,Male,FALSE,FALSE,TRUE,2018-01-01,48,63,TRUE,FALSE,11,5,Foster System,Incomplete Highschool,FALSE
61,39,Female,FALSE,TRUE,TRUE,2004-01-01,63,34,FALSE,FALSE,4,3,Domestic Abuse,Incomplete Highschool,FALSE
62,23,Male,FALSE,TRUE,TRUE,2016-01-01,77,456,FALSE,FALSE,11,2,Veteran,Incomplete Highschool,TRUE
63,47,Nonbinary,FALSE,TRUE,TRUE,2013-01-01,36,263,FALSE,TRUE,67,2,Domestic Abuse,Completed Highschool,FALSE
64,57,Male,FALSE,TRUE,TRUE,2014-01-01,3,154,TRUE,FALSE,9,1,Veteran,Incomplete Highschool,TRUE
65,50,Female,TRUE,FALSE,FALSE,2014-01-01,91,154,TRUE,TRUE,83,4,Domestic Abuse,Incomplete Highschool,FALSE
66,69,Male,FALSE,FALSE,FALSE,2004-01-01,37,160,TRUE,TRUE,99,5,Domestic Abuse,Incomplete Highschool,FALSE
67,65,Female,FALSE,FALSE,TRUE,2008-01-01,22,385,FALSE,FALSE,40,3,Domestic Abuse,Incomplete Highschool,TRUE
68,76,Female,FALSE,FALSE,FALSE,2003-01-01,41,102,FALSE,TRUE,75,2,Veteran,Incomplete Highschool,FALSE
69,78,Male,TRUE,TRUE,FALSE,2007-01-01,38,137,FALSE,TRUE,89,4,Foster System,Incomplete Highschool,TRUE
70,79,Female,FALSE,FALSE,TRUE,2019-01-01,8,275,FALSE,TRUE,62,2,Foster System,Completed College,FALSE
71,32,Male,FALSE,FALSE,TRUE,2011-01-01,36,384,FALSE,FALSE,34,1,Foster System,Incomplete Highschool,FALSE
72,41,Male,FALSE,TRUE,TRUE,2006-01-01,95,311,TRUE,TRUE,60,4,Veteran,Incomplete Highschool,TRUE
73,31,Female,FALSE,FALSE,TRUE,2001-01-01,61,45,FALSE,FALSE,79,3,Veteran,Incomplete Highschool,FALSE
74,38,Male,FALSE,FALSE,FALSE,2006-01-01,83,41,FALSE,TRUE,16,2,Foster System,Incomplete Highschool,FALSE
75,64,Male,FALSE,TRUE,TRUE,2011-01-01,3,315,TRUE,FALSE,62,1,Disability,Incomplete Highschool,FALSE
76,67,Male,TRUE,TRUE,FALSE,2006-01-01,93,271,FALSE,FALSE,90,2,Disability,Incomplete Highschool,FALSE
77,39,Male,TRUE,FALSE,TRUE,2000-01-01,17,258,TRUE,TRUE,7,2,Disability,Incomplete Highschool,TRUE
78,67,Male,TRUE,TRUE,TRUE,2003-01-01,21,52,FALSE,TRUE,16,5,Disability,Incomplete Highschool,TRUE
79,76,Female,FALSE,FALSE,FALSE,2016-01-01,5,485,FALSE,FALSE,28,4,Domestic Abuse,Incomplete Highschool,FALSE
80,47,Female,FALSE,FALSE,TRUE,2013-01-01,63,273,TRUE,FALSE,44,4,Veteran,Some College,FALSE
81,30,Female,FALSE,FALSE,FALSE,2004-01-01,82,496,FALSE,TRUE,23,4,Disability,Incomplete Highschool,FALSE
82,54,Male,FALSE,FALSE,FALSE,2000-01-01,83,331,FALSE,TRUE,79,2,Disability,Incomplete Highschool,FALSE
83,65,Male,FALSE,FALSE,TRUE,2003-01-01,23,371,FALSE,TRUE,79,4,Foster System,Incomplete Highschool,FALSE
84,57,Male,TRUE,TRUE,TRUE,2012-01-01,36,113,FALSE,TRUE,16,2,Domestic Abuse,Incomplete Highschool,TRUE
85,71,Male,FALSE,FALSE,FALSE,2015-01-01,65,442,FALSE,FALSE,85,2,Disability,Incomplete Highschool,FALSE
86,69,Nonbinary,FALSE,FALSE,TRUE,2005-01-01,97,424,TRUE,TRUE,93,2,Foster System,Some College,FALSE
87,65,Male,FALSE,FALSE,FALSE,2005-01-01,39,248,FALSE,FALSE,77,5,Domestic Abuse,Incomplete Highschool,FALSE
88,45,Female,FALSE,FALSE,FALSE,2000-01-01,97,243,FALSE,TRUE,62,4,Domestic Abuse,Incomplete Highschool,FALSE
89,67,Male,FALSE,FALSE,TRUE,2000-01-01,85,355,FALSE,TRUE,30,5,Veteran,Incomplete Highschool,FALSE
90,78,Female,FALSE,TRUE,FALSE,2014-01-01,12,439,FALSE,FALSE,68,1,Veteran,Completed Highschool,FALSE
91,32,Male,FALSE,TRUE,TRUE,2011-01-01,43,239,TRUE,FALSE,12,2,Veteran,Incomplete Highschool,TRUE
92,60,Nonbinary,TRUE,FALSE,TRUE,2013-01-01,27,317,FALSE,TRUE,9,3,Foster System,Completed Highschool,FALSE
93,40,Nonbinary,FALSE,FALSE,FALSE,2015-01-01,29,232,TRUE,TRUE,57,3,Disability,Incomplete Highschool,TRUE
94,42,Nonbinary,FALSE,TRUE,TRUE,2016-01-01,30,416,FALSE,TRUE,4,5,Disability,Completed Highschool,FALSE
95,61,Nonbinary,FALSE,TRUE,TRUE,2005-01-01,41,230,FALSE,FALSE,10,2,Disability,Incomplete Highschool,TRUE
96,40,Female,FALSE,FALSE,TRUE,2019-01-01,62,308,FALSE,TRUE,20,2,Veteran,Incomplete Highschool,FALSE
97,54,Male,FALSE,TRUE,FALSE,2010-01-01,87,49,TRUE,FALSE,71,3,Domestic Abuse,Incomplete Highschool,FALSE
98,32,Male,FALSE,FALSE,TRUE,2014-01-01,87,262,FALSE,TRUE,84,1,Veteran,Incomplete Highschool,FALSE
99,79,Male,FALSE,TRUE,TRUE,2013-01-01,72,163,FALSE,FALSE,20,5,Disability,Incomplete Highschool,TRUE
100,71,Male,FALSE,FALSE,FALSE,2011-01-01,8,356,FALSE,FALSE,4,1,Foster System,Incomplete Highschool,FALSE
101,21,Female,FALSE,TRUE,TRUE,2017-01-01,61,17,FALSE,FALSE,43,3,Foster System,Completed Highschool,FALSE
102,65,Male,FALSE,TRUE,FALSE,2012-01-01,11,427,FALSE,FALSE,36,4,Veteran,Incomplete Highschool,TRUE
103,72,Nonbinary,FALSE,FALSE,FALSE,2007-01-01,14,116,FALSE,TRUE,32,4,Foster System,Incomplete Highschool,FALSE
104,28,Male,FALSE,TRUE,FALSE,2000-01-01,45,40,FALSE,FALSE,18,1,Domestic Abuse,Incomplete Highschool,FALSE
105,18,Female,FALSE,FALSE,FALSE,2005-01-01,10,369,FALSE,FALSE,38,3,Domestic Abuse,Completed College,FALSE
106,76,Female,FALSE,TRUE,FALSE,2021-01-01,26,185,FALSE,FALSE,89,5,Disability,Completed Highschool,FALSE
107,20,Female,FALSE,TRUE,FALSE,2014-01-01,27,234,FALSE,FALSE,51,2,Domestic Abuse,Some College,FALSE
108,62,Male,FALSE,FALSE,TRUE,2013-01-01,23,46,TRUE,TRUE,92,3,Veteran,Incomplete Highschool,FALSE
109,75,Male,FALSE,TRUE,FALSE,2014-01-01,51,304,TRUE,TRUE,32,2,Disability,Incomplete Highschool,TRUE
110,26,Female,TRUE,TRUE,TRUE,2002-01-01,67,244,FALSE,FALSE,17,4,Foster System,Incomplete Highschool,TRUE
111,67,Nonbinary,FALSE,FALSE,FALSE,2001-01-01,11,407,FALSE,FALSE,58,4,Disability,Incomplete Highschool,TRUE
112,69,Male,FALSE,FALSE,TRUE,2015-01-01,43,220,TRUE,TRUE,68,2,Domestic Abuse,Incomplete Highschool,FALSE
113,29,Male,FALSE,FALSE,TRUE,2020-01-01,99,200,FALSE,FALSE,95,3,Domestic Abuse,Some College,FALSE
114,33,Female,FALSE,FALSE,FALSE,2001-01-01,83,282,FALSE,FALSE,68,5,Veteran,Incomplete Highschool,FALSE
115,36,Male,FALSE,FALSE,TRUE,2015-01-01,17,455,FALSE,TRUE,16,3,Domestic Abuse,Incomplete Highschool,FALSE
116,30,Female,FALSE,TRUE,FALSE,2000-01-01,7,348,FALSE,TRUE,55,5,Domestic Abuse,Incomplete Highschool,FALSE
117,56,Female,FALSE,TRUE,TRUE,2006-01-01,6,65,TRUE,FALSE,30,4,Foster System,Incomplete Highschool,TRUE
118,64,Male,FALSE,TRUE,FALSE,2005-01-01,13,102,FALSE,TRUE,11,3,Foster System,Completed Highschool,TRUE
119,61,Female,FALSE,TRUE,TRUE,2011-01-01,91,170,FALSE,TRUE,32,4,Veteran,Incomplete Highschool,TRUE
120,19,Female,FALSE,TRUE,TRUE,2020-01-01,89,75,FALSE,FALSE,42,4,Veteran,Completed College,FALSE
121,40,Female,TRUE,TRUE,TRUE,2021-01-01,46,325,FALSE,TRUE,41,1,Disability,Some College,FALSE
122,27,Male,FALSE,FALSE,FALSE,2001-01-01,23,78,FALSE,TRUE,77,2,Veteran,Incomplete Highschool,FALSE
123,74,Male,FALSE,TRUE,TRUE,2019-01-01,99,357,FALSE,TRUE,16,3,Disability,Incomplete Highschool,TRUE
124,65,Female,FALSE,FALSE,FALSE,2014-01-01,76,154,TRUE,FALSE,97,3,Veteran,Incomplete Highschool,FALSE
125,74,Male,FALSE,FALSE,FALSE,2021-01-01,31,18,FALSE,FALSE,92,4,Domestic Abuse,Incomplete Highschool,FALSE
126,23,Nonbinary,FALSE,TRUE,TRUE,2021-01-01,82,257,TRUE,FALSE,30,1,Disability,Incomplete Highschool,TRUE
127,66,Female,FALSE,TRUE,TRUE,2010-01-01,99,437,FALSE,FALSE,4,2,Veteran,Incomplete Highschool,TRUE
128,18,Female,FALSE,TRUE,FALSE,2006-01-01,84,128,FALSE,FALSE,35,3,Domestic Abuse,Incomplete Highschool,FALSE
129,21,Male,FALSE,TRUE,FALSE,2013-01-01,18,276,FALSE,TRUE,28,4,Domestic Abuse,Completed Highschool,FALSE
130,44,Male,FALSE,FALSE,TRUE,2020-01-01,93,200,TRUE,FALSE,88,5,Disability,Incomplete Highschool,FALSE
131,67,Female,FALSE,TRUE,TRUE,2020-01-01,33,244,FALSE,TRUE,42,2,Veteran,Completed Highschool,FALSE
132,38,Male,FALSE,FALSE,TRUE,2014-01-01,2,86,FALSE,TRUE,77,3,Veteran,Incomplete Highschool,FALSE
133,63,Male,FALSE,TRUE,TRUE,2011-01-01,14,284,TRUE,TRUE,76,4,Disability,Incomplete Highschool,TRUE
134,61,Female,FALSE,TRUE,FALSE,2000-01-01,59,150,FALSE,TRUE,78,1,Veteran,Incomplete Highschool,TRUE
135,38,Male,FALSE,FALSE,FALSE,2011-01-01,33,162,FALSE,TRUE,11,1,Veteran,Incomplete Highschool,FALSE
136,24,Female,FALSE,FALSE,FALSE,2009-01-01,45,410,FALSE,FALSE,32,2,Disability,Some College,FALSE
137,79,Male,FALSE,TRUE,TRUE,2016-01-01,63,304,FALSE,TRUE,31,2,Foster System,Incomplete Highschool,FALSE
138,56,Female,FALSE,FALSE,TRUE,2019-01-01,60,383,FALSE,FALSE,42,4,Disability,Incomplete Highschool,FALSE
139,48,Male,TRUE,FALSE,TRUE,2006-01-01,88,157,FALSE,FALSE,52,1,Disability,Some College,FALSE
140,31,Female,FALSE,FALSE,FALSE,2011-01-01,31,43,FALSE,TRUE,55,1,Domestic Abuse,Incomplete Highschool,FALSE
141,22,Male,FALSE,TRUE,FALSE,2009-01-01,43,47,FALSE,FALSE,84,3,Veteran,Completed Highschool,FALSE
142,58,Female,FALSE,TRUE,FALSE,2005-01-01,4,431,FALSE,FALSE,65,3,Veteran,Incomplete Highschool,TRUE
143,41,Male,TRUE,FALSE,FALSE,2018-01-01,46,377,FALSE,FALSE,20,1,Foster System,Incomplete Highschool,TRUE
144,67,Female,FALSE,TRUE,TRUE,2018-01-01,77,421,FALSE,TRUE,54,4,Foster System,Incomplete Highschool,FALSE
145,51,Male,TRUE,FALSE,TRUE,2004-01-01,99,182,FALSE,TRUE,20,4,Foster System,Incomplete Highschool,FALSE
146,52,Nonbinary,TRUE,FALSE,TRUE,2006-01-01,86,6,FALSE,TRUE,43,1,Domestic Abuse,Incomplete Highschool,TRUE
147,47,Female,FALSE,TRUE,TRUE,2020-01-01,21,336,TRUE,FALSE,25,4,Foster System,Incomplete Highschool,TRUE
148,26,Nonbinary,TRUE,TRUE,FALSE,2017-01-01,72,453,TRUE,FALSE,73,1,Veteran,Completed Highschool,TRUE
149,59,Nonbinary,FALSE,FALSE,TRUE,2000-01-01,65,93,FALSE,TRUE,33,1,Domestic Abuse,Incomplete Highschool,FALSE
150,75,Male,FALSE,FALSE,FALSE,2002-01-01,95,221,FALSE,TRUE,32,4,Veteran,Incomplete Highschool,FALSE
151,31,Male,FALSE,FALSE,TRUE,2011-01-01,87,335,TRUE,TRUE,98,2,Disability,Completed Highschool,FALSE
152,80,Male,FALSE,TRUE,TRUE,2004-01-01,62,274,FALSE,TRUE,43,1,Domestic Abuse,Incomplete Highschool,FALSE
153,45,Female,FALSE,TRUE,TRUE,2013-01-01,91,409,FALSE,TRUE,72,3,Foster System,Incomplete Highschool,TRUE
154,36,Male,FALSE,FALSE,FALSE,2001-01-01,64,281,FALSE,FALSE,18,2,Foster System,Incomplete Highschool,FALSE
155,69,Male,FALSE,TRUE,TRUE,2004-01-01,72,94,TRUE,TRUE,70,3,Disability,Incomplete Highschool,TRUE
156,69,Female,FALSE,TRUE,FALSE,2000-01-01,70,18,FALSE,TRUE,51,1,Domestic Abuse,Incomplete Highschool,FALSE
