ID,Age,Gender,Transgender,Mental_Illness,Physical_Illness,Date_of_Arrival,Total_Days_in_Shelter,Total_Days_Homeless,Criminal_Record,Employed,Recurrence,Party_Size,Reason,Education_Level,Return_Prediction
1,23,Male,FALSE,FALSE,TRUE,2019-01-01,55,93,TRUE,TRUE,45,1,Foster System,Incomplete Highschool,FALSE
2,77,Male,FALSE,FALSE,TRUE,2001-01-01,91,20,FALSE,TRUE,3,3,Disability,Incomplete Highschool,FALSE
3,53,Male,FALSE,FALSE,TRUE,2002-01-01,69,401,TRUE,TRUE,54,2,Domestic Abuse,Incomplete Highschool,FALSE
4,68,Female,TRUE,TRUE,FALSE,2015-01-01,51,54,FALSE,TRUE,79,1,Domestic Abuse,Incomplete Highschool,TRUE
5,41,Male,FALSE,FALSE,TRUE,2003-01-01,68,468,FALSE,TRUE,31,2,Domestic Abuse,Incomplete Highschool,FALSE
6,26,Nonbinary,FALSE,FALSE,TRUE,2004-01-01,51,52,FALSE,FALSE,78,4,Veteran,Incomplete Highschool,FALSE
7,50,Male,TRUE,FALSE,TRUE,2011-01-01,53,385,FALSE,TRUE,31,3,Domestic Abuse,Incomplete Highschool,FALSE
8,64,Female,TRUE,TRUE,FALSE,2011-01-01,11,78,TRUE,FALSE,62,3,Domestic Abuse,Incomplete Highschool,TRUE
9,76,Male,FALSE,FALSE,FALSE,2012-01-01,21,285,FALSE,FALSE,69,1,Foster System,Incomplete Highschool,FALSE
10,50,Female,FALSE,TRUE,TRUE,2017-01-01,70,202,FALSE,FALSE,87,2,Foster System,Incomplete Highschool,TRUE
11,37,Male,TRUE,FALSE,FALSE,2018-01-01,53,228,FALSE,FALSE,96,4,Disability,Incomplete Highschool,FALSE
12,54,Female,FALSE,TRUE,FALSE,2018-01-01,16,90,FALSE,TRUE,19,3,Veteran,Completed Highschool,FALSE
13,66,Male,FALSE,TRUE,FALSE,2013-01-01,93,34,TRUE,FALSE,91,1,Disability,Incomplete Highschool,TRUE
14,44,Female,FALSE,TRUE,FALSE,2019-01-01,43,234,TRUE,TRUE,6,1,Foster System,Completed College,FALSE
15,80,Nonbinary,FALSE,TRUE,FALSE,2021-01-01,43,173,TRUE,TRUE,16,4,Veteran,Completed Highschool,TRUE
16,28,Female,FALSE,FALSE,TRUE,2000-01-01,19,393,FALSE,FALSE,4,3,Veteran,Incomplete Highschool,FALSE
17,69,Male,FALSE,TRUE,FALSE,2013-01-01,8,301,FALSE,TRUE,32,1,Veteran,Incomplete Highschool,TRUE
18,77,Male,FALSE,TRUE,TRUE,2020-01-01,33,344,FALSE,TRUE,87,4,Foster System,Incomplete Highschool,TRUE
19,78,Male,TRUE,TRUE,TRUE,2009-01-01,31,389,FALSE,FALSE,54,4,Domestic Abuse,Incomplete Highschool,TRUE
20,52,Female,FALSE,TRUE,FALSE,2014-01-01,96,272,FALSE,TRUE,73,3,Foster System,Incomplete Highschool,TRUE
21,77,Male,FALSE,FALSE,FALSE,2021-01-01,93,99,FALSE,FALSE,3,4,Disability,Some College,FALSE
22,30,Nonbinary,FALSE,TRUE,TRUE,2014-01-01,39,10,TRUE,FALSE,55,1,Veteran,Incomplete Highschool,TRUE
23,63,Female,TRUE,TRUE,FALSE,2007-01-01,18,394,FALSE,FALSE,71,4,Disability,Incomplete Highschool,TRUE
24,39,Female,FALSE,FALSE,FALSE,2018-01-01,85,9,FALSE,TRUE,30,4,Foster System,Incomplete Highschool,FALSE
25,25,Female,FALSE,FALSE,FALSE,2001-01-01,59,112,FALSE,FALSE,25,3,Disability,Incomplete Highschool,FALSE
26,52,Male,FALSE,TRUE,FALSE,2000-01-01,76,129,FALSE,FALSE,55,1,Disability,Completed Highschool,FALSE
27,57,Female,FALSE,FALSE,FALSE,2009-01-01,86,468,FALSE,TRUE,94,4,Foster System,Incomplete Highschool,FALSE
28,28,Male,FALSE,TRUE,TRUE,2019-01-01,13,427,FALSE,TRUE,22,4,Disability,Incomplete Highschool,TRUE
29,36,Male,FALSE,TRUE,FALSE,2008-01-01,25,134,TRUE,FALSE,73,2,Domestic Abuse,Incomplete Highschool,TRUE
30,79,Male,TRUE,TRUE,TRUE,2020-01-01,90,435,FALSE,FALSE,87,1,Veteran,Incomplete Highschool,TRUE
31,60,Male,FALSE,FALSE,TRUE,2003-01-01,36,385,FALSE,FALSE,24,3,Domestic Abuse,Incomplete Highschool,FALSE
32,43,Nonbinary,FALSE,FALSE,FALSE,2007-01-01,43,61,FALSE,FALSE,22,4,Foster System,Incomplete Highschool,FALSE
33,63,Nonbinary,FALSE,FALSE,TRUE,2019-01-01,74,376,TRUE,TRUE,78,2,Foster System,Incomplete Highschool,FALSE
34,50,Male,TRUE,FALSE,TRUE,2005-01-01,76,184,FALSE,FALSE,11,4,Domestic Abuse,Incomplete Highschool,FALSE
35,75,Female,FALSE,TRUE,TRUE,2002-01-01,31,121,FALSE,FALSE,87,4,Disability,Incomplete Highschool,TRUE
36,62,Male,FALSE,FALSE,FALSE,2010-01-01,99,69,TRUE,FALSE,5,5,Disability,Completed Highschool,FALSE
37,43,Female,FALSE,FALSE,FALSE,2005-01-01,62,190,TRUE,TRUE,38,3,Disability,Some College,FALSE
38,34,Male,FALSE,FALSE,TRUE,2012-01-01,46,155,FALSE,TRUE,53,5,Disability,Incomplete Highschool,FALSE
39,62,Male,FALSE,TRUE,TRUE,2016-01-01,64,299,FALSE,FALSE,34,4,Foster System,Incomplete Highschool,TRUE
40,21,Male,FALSE,TRUE,TRUE,2001-01-01,25,178,FALSE,FALSE,93,4,Disability,Incomplete Highschool,FALSE
41,69,Nonbinary,FALSE,TRUE,FALSE,2020-01-01,100,364,FALSE,FALSE,16,5,Disability,Incomplete Highschool,TRUE
42,68,Female,FALSE,FALSE,TRUE,2005-01-01,86,211,FALSE,TRUE,79,3,Foster System,Incomplete Highschool,FALSE
43,65,Male,FALSE,FALSE,TRUE,2015-01-01,81,365,FALSE,TRUE,45,1,Disability,Incomplete Highschool,FALSE
44,60,Female,FALSE,TRUE,TRUE,2001-01-01,86,494,FALSE,TRUE,55,5,Foster System,Completed College,FALSE
45,37,Female,FALSE,TRUE,TRUE,2000-01-01,74,416,FALSE,FALSE,18,2,Disability,Incomplete Highschool,TRUE
46,58,Nonbinary,FALSE,FALSE,FALSE,2012-01-01,93,217,FALSE,FALSE,39,2,Disability,Incomplete Highschool,FALSE
47,39,Male,TRUE,FALSE,TRUE,2017-01-01,2,261,FALSE,TRUE,13,1,Veteran,Incomplete Highschool,FALSE
48,47,Female,FALSE,FALSE,TRUE,2006-01-01,64,306,TRUE,TRUE,59,3,Domestic Abuse,Incomplete Highschool,FALSE
49,52,Male,FALSE,TRUE,FALSE,2011-01-01,86,208,TRUE,FALSE,42,2,Veteran,Incomplete Highschool,TRUE
50,59,Female,FALSE,FALSE,FALSE,2009-01-01,4,135,FALSE,FALSE,42,3,Foster System,Incomplete Highschool,FALSE
51,68,Nonbinary,FALSE,TRUE,TRUE,2011-01-01,33,195,FALSE,FALSE,88,1,Disability,Incomplete Highschool,TRUE
52,29,Female,FALSE,FALSE,FALSE,2003-01-01,33,219,FALSE,TRUE,29,4,Domestic Abuse,Incomplete Highschool,FALSE
53,30,Nonbinary,FALSE,FALSE,TRUE,2003-01-01,84,242,FALSE,FALSE,64,2,Disability,Incomplete Highschool,FALSE
