ID,Age,Gender,Transgender,Mental_Illness,Physical_Illness,Date_of_Arrival,Total_Days_in_Shelter,Total_Days_Homeless,Criminal_Record,Employed,Recurrence,Party_Size,Reason,Education_Level,Return_Prediction
1,52,Male,FALSE,FALSE,TRUE,2013-01-01,99,311,TRUE,TRUE,92,1,Disability,Incomplete Highschool,FALSE
2,54,Nonbinary,TRUE,TRUE,TRUE,2019-01-01,49,16,TRUE,FALSE,39,2,Disability,Incomplete Highschool,TRUE
3,51,Male,FALSE,TRUE,TRUE,2007-01-01,43,74,FALSE,TRUE,89,5,Disability,Incomplete Highschool,TRUE
4,41,Female,FALSE,FALSE,TRUE,2001-01-01,56,484,TRUE,TRUE,13,5,Disability,Incomplete Highschool,FALSE
5,70,Female,FALSE,TRUE,FALSE,2003-01-01,16,252,FALSE,FALSE,53,4,Disability,Incomplete Highschool,TRUE
6,37,Female,FALSE,FALSE,TRUE,2020-01-01,80,290,FALSE,TRUE,54,4,Foster System,Incomplete Highschool,FALSE
7,51,Male,FALSE,FALSE,FALSE,2009-01-01,62,292,FALSE,TRUE,55,2,Foster System,Incomplete Highschool,FALSE
8,25,Male,TRUE,FALSE,TRUE,2013-01-01,75,438,FALSE,TRUE,19,5,Domestic Abuse,Incomplete Highschool,FALSE
9,50,Male,FALSE,FALSE,FALSE,2015-01-01,82,244,FALSE,TRUE,7,1,Veteran,Incomplete Highschool,FALSE
10,51,Male,FALSE,FALSE,FALSE,2005-01-01,44,157,FALSE,FALSE,77,1,Domestic Abuse,Incomplete Highschool,FALSE
11,35,Female,FALSE,TRUE,TRUE,2019-01-01,75,71,TRUE,FALSE,81,3,Veteran,Incomplete Highschool,TRUE
12,45,Female,FALSE,TRUE,FALSE,2021-01-01,81,341,FALSE,TRUE,77,5,Veteran,Incomplete Highschool,TRUE
13,61,Male,FALSE,TRUE,FALSE,2016-01-01,100,432,FALSE,FALSE,52,1,Domestic Abuse,Incomplete Highschool,FALSE
14,74,Male,FALSE,FALSE,FALSE,2000-01-01,37,380,TRUE,FALSE,37,2,Veteran,Incomplete Highschool,TRUE
